elapsed_ms,rpm,current_val1,current_val2
7,0,0.05,0.05
203,0,,
403,0,,
604,0,,
804,0,,
1008,625,-0.05,-0.05
1204,675,,
1404,925,,
1604,925,,
1804,950,,
2009,950,-0.44,-0.54
2204,975,,
2404,1025,,
2604,975,,
2804,1025,,
3009,1000,-0.49,-0.54
3204,1000,,
3404,1000,,
3604,1000,,
3804,975,,
4008,1000,-0.49,-0.59
4208,975,,
4404,1000,,
4604,1000,,
4804,1000,,
5009,1000,-0.59,-0.49
5204,1025,,
5404,1000,,
5604,975,,
5804,1000,,
6008,975,-0.59,-0.49
6204,1000,,
6404,1000,,
6604,975,,
6804,1000,,
7008,1000,-0.54,-0.63
7204,1000,,
7404,1000,,
7604,1000,,
7804,975,,
