elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,0,,
404,0,,
605,0,,
806,0,,
1012,200,0.05,0.00
1206,900,,
1406,775,,
1606,1075,,
1806,900,,
2012,975,-0.34,-0.39
2206,1000,,
2406,975,,
2605,1000,,
2806,1000,,
3012,950,-0.63,-0.59
3206,1000,,
3406,950,,
3606,1000,,
3806,1000,,
4012,1000,-0.59,-0.44
4206,975,,
4406,1000,,
4605,1000,,
4806,975,,
5012,1000,-0.49,-0.44
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.49,-0.54
6206,950,,
6406,1000,,
6606,1025,,
6806,1025,,
7012,975,-0.54,-0.54
7206,975,,
7406,1000,,
7606,1000,,
7806,1050,,
