** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,0,,
404,0,,
605,0,,
806,0,,
1011,0,0.05,0.00
1205,0,,
1406,0,,
1606,0,,
1806,0,,
2012,0,0.05,0.00
2206,0,,
2406,0,,
2606,0,,
2806,0,,
3012,0,0.05,0.05
3205,0,,
3406,0,,
3606,0,,
3810,0,,
4012,0,0.05,0.00
4206,0,,
4406,0,,
4606,0,,
4806,0,,
5012,0,0.05,0.05
5206,0,,
5406,0,,
5606,0,,
5806,0,,
6011,0,0.05,0.05
6206,0,,
6406,0,,
6606,0,,
6806,0,,
7011,0,0.05,0.05
7206,0,,
7406,0,,
7606,0,,
7806,0,,
