elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,25,,
404,825,,
609,650,,
806,900,,
1012,875,0.05,0.05
1206,975,,
1406,925,,
1609,975,,
1806,1000,,
2012,1000,-0.44,-0.54
2206,1000,,
2406,950,,
2606,1025,,
2806,1000,,
3012,1000,-0.49,-0.59
3206,1025,,
3406,975,,
3606,1000,,
3806,975,,
4012,1000,-0.49,-0.49
4206,1000,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,1050,-0.59,-0.54
5206,975,,
5406,1025,,
5606,975,,
5806,1000,,
6012,1000,-0.49,-0.63
6206,1000,,
6406,1000,,
6608,1025,,
6805,975,,
