elapsed_ms,rpm,current_val1,current_val2
10,0,0.05,0.00
204,0,,
404,850,,
605,700,,
806,900,,
1012,900,-0.15,-0.15
1206,900,,
1406,1000,,
1606,950,,
1806,975,,
2012,975,-0.59,-0.44
2206,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.44,-0.54
3206,975,,
3406,1025,,
3606,1025,,
3806,975,,
4011,1000,-0.59,-0.49
4206,975,,
4406,1000,,
4606,975,,
4806,1000,,
5012,975,-0.34,-0.59
5206,1000,,
5406,975,,
5606,1000,,
5806,1000,,
6012,1025,-0.59,-0.49
6206,1000,,
6406,1025,,
6606,975,,
6806,1000,,
