elapsed_ms,rpm,current_val1,current_val2
12,0,0.05,0.00
204,0,,
405,700,,
606,1050,,
806,950,,
1012,875,-0.10,-0.20
1206,975,,
1406,975,,
1611,975,,
1806,1000,,
2012,950,-0.54,-0.59
2206,975,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1025,-0.54,-0.54
3206,1000,,
3406,1000,,
3606,975,,
3806,1000,,
4012,1050,-0.54,-0.63
4206,1050,,
4406,1050,,
4610,1000,,
4806,1000,,
5012,1000,-0.59,-0.59
5206,1025,,
5406,1000,,
5606,1025,,
5806,975,,
6012,975,-0.44,-0.49
6206,1025,,
6406,950,,
6606,1025,,
6806,975,,
