elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,0,,
404,0,,
605,725,,
806,1200,,
1012,1175,-0.20,0.05
1209,1100,,
1406,1050,,
1606,1000,,
1806,975,,
2012,1000,-0.68,-0.63
2206,1025,,
2406,1000,,
2606,1000,,
2806,1025,,
3012,1025,-0.59,-0.49
3206,1025,,
3406,1000,,
3606,1000,,
3806,1025,,
4012,1000,-0.44,-0.39
4206,1025,,
4406,1025,,
4606,1000,,
4806,975,,
5012,1000,-0.59,-0.54
5206,1000,,
5406,1025,,
5606,1025,,
5806,1025,,
6012,1000,-0.49,-0.44
6209,1000,,
6406,975,,
6606,1000,,
6806,1025,,
