elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,475,,
404,850,,
605,625,,
806,900,,
1012,850,-0.20,-0.10
1206,925,,
1406,925,,
1606,950,,
1806,975,,
2012,975,-0.49,-0.44
2206,1000,,
2406,975,,
2606,975,,
2806,975,,
3012,1000,-0.49,-0.44
3206,1000,,
3405,1025,,
3606,975,,
3806,1025,,
4012,950,-0.54,-0.44
4206,1050,,
4406,1000,,
4606,975,,
4806,1000,,
5012,975,-0.49,-0.39
5206,1025,,
5406,975,,
5606,1050,,
5806,950,,
6012,1025,-0.54,-0.44
6206,950,,
6406,1050,,
6606,975,,
6806,1000,,
