elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,575,,
404,650,,
605,650,,
806,850,,
1012,825,-0.34,-0.34
1206,875,,
1406,875,,
1606,925,,
1806,925,,
2012,950,-0.49,-0.49
2206,975,,
2406,975,,
2606,975,,
2806,975,,
3012,975,-0.49,-0.49
3206,1000,,
3406,1000,,
3606,1000,,
3806,1000,,
4012,1000,-0.54,-0.44
4206,1000,,
4406,1000,,
4606,1000,,
4806,1025,,
5012,1000,-0.49,-0.39
5211,1000,,
5406,1000,,
5606,1025,,
5806,1000,,
6012,1000,-0.59,-0.44
6206,1000,,
6406,1000,,
6606,1025,,
6806,1000,,
