elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,0,,
404,0,,
606,100,,
806,1025,,
1012,1275,-0.54,-0.39
1206,1200,,
1406,1075,,
1606,975,,
1806,975,,
2012,1000,-0.49,-0.44
2206,1000,,
2406,1000,,
2606,1025,,
2806,1000,,
3012,1000,-0.49,-0.54
3205,1000,,
3406,1000,,
3606,1000,,
3806,1000,,
4011,1000,-0.59,-0.54
4205,975,,
4406,1025,,
4606,1000,,
4806,1000,,
5012,1025,-0.49,-0.59
5205,1000,,
5406,975,,
5606,1000,,
5805,1000,,
6011,1025,-0.59,-0.44
6205,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
