elapsed_ms,rpm,current_val1,current_val2
11,0,-0.10,0.05
204,0,,
404,0,,
605,950,,
806,1500,,
1012,1350,-0.34,-0.39
1206,1100,,
1406,925,,
1606,900,,
1806,950,,
2012,1025,-0.54,-0.49
2206,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.44,-0.49
3206,975,,
3406,1000,,
3606,1000,,
3806,1025,,
4012,975,-0.54,-0.54
4206,1000,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,1000,-0.49,-0.49
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.49,-0.49
6206,1025,,
6406,1025,,
6606,1025,,
6806,1000,,
