p_delta,i_delta,ise,mssd_2s,mssd_full,n_observations
-0.1,-0.08,4602500.0,134050.92592592593,35833.333333333336,3
-0.1,-0.06,3795000.0,102476.85185185185,27316.176470588234,3
-0.1,-0.04,3779791.6666666665,114166.66666666667,30600.49019607843,3
-0.1,-0.02,3632916.6666666665,109375.0,29405.63725490196,3
-0.1,0.0,3684375.0,136990.74074074073,36629.901960784315,3
-0.1,0.02,3451250.0,128194.44444444444,34289.21568627451,3
-0.1,0.04,6545625.0,245671.29629629632,71642.1568627451,3
-0.1,0.06,4058541.6666666665,175810.18518518517,47120.098039215685,3
-0.1,0.08,3182083.3333333335,145046.2962962963,38988.970588235294,3
-0.08,-0.08,3013750.0,71388.88888888889,19172.79411764706,1
-0.08,-0.06,3400000.0,84652.77777777778,22591.91176470588,1
-0.08,-0.04,3405625.0,102777.77777777778,27959.558823529413,1
-0.08,-0.02,3021250.0,97500.0,26139.70588235294,1
-0.08,0.0,3146250.0,99791.66666666667,26746.323529411766,1
-0.08,0.02,3121250.0,106736.11111111111,28713.235294117647,1
-0.08,0.04,2855000.0,109027.77777777778,29044.117647058825,1
-0.08,0.06,2960625.0,130277.77777777778,35312.5,1
-0.08,0.08,2694375.0,96388.88888888889,25919.117647058825,1
-0.06,-0.08,3326250.0,74166.66666666667,20000.0,1
-0.06,-0.06,3204375.0,68194.44444444444,18584.558823529413,1
-0.06,-0.04,3071250.0,97083.33333333333,26066.176470588234,1
-0.06,-0.02,2701250.0,85069.44444444444,23272.058823529413,1
-0.06,0.0,2313750.0,66458.33333333333,17738.970588235294,1
-0.06,0.02,2601875.0,93611.11111111111,25202.20588235294,1
-0.06,0.04,2568125.0,91111.11111111111,24264.70588235294,1
-0.06,0.06,2025625.0,48125.0,12977.941176470587,1
-0.06,0.08,2880000.0,136319.44444444444,36507.35294117647,1
-0.04,-0.08,2087500.0,27847.222222222223,7610.294117647059,1
-0.04,-0.06,2363750.0,25972.222222222223,7279.411764705882,1
-0.04,-0.04,2829375.0,81805.55555555556,22242.647058823528,1
-0.04,-0.02,2242500.0,62500.0,17205.882352941175,1
-0.04,0.0,2299375.0,68055.55555555556,18786.764705882353,1
-0.04,0.02,2544375.0,77638.88888888889,20882.352941176472,1
-0.04,0.04,2633750.0,102986.11111111111,28069.852941176472,1
-0.04,0.06,2456875.0,82777.77777777778,23253.676470588234,1
-0.04,0.08,1989375.0,82916.66666666667,22352.941176470587,1
-0.02,-0.08,2521250.0,50347.22222222222,13786.764705882353,1
-0.02,-0.06,2486875.0,56388.88888888889,15533.088235294117,1
-0.02,-0.04,2154375.0,59722.22222222222,16378.676470588236,1
-0.02,-0.02,2598125.0,78055.55555555556,21102.941176470587,1
-0.02,0.0,2097500.0,69513.88888888889,18823.529411764706,1
-0.02,0.02,2076250.0,75486.11111111111,20202.20588235294,1
-0.02,0.04,2235625.0,69444.44444444444,19062.5,1
-0.02,0.06,1599375.0,45833.333333333336,12500.0,1
-0.02,0.08,3239375.0,156666.66666666666,42132.35294117647,1
0.0,-0.08,2929375.0,127013.88888888889,34154.41176470588,1
0.0,-0.06,2255625.0,51388.88888888889,14375.0,1
0.0,-0.04,2263125.0,53055.555555555555,15073.529411764706,1
0.0,-0.02,2001250.0,40625.0,11580.882352941177,1
0.0,0.0,2133125.0,56805.555555555555,15533.088235294117,1
0.0,0.02,3777500.0,204722.22222222222,54485.294117647056,1
