elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,0,,
404,0,,
604,150,,
806,950,,
1012,1200,-0.44,-0.29
1206,1175,,
1406,1075,,
1606,1050,,
1806,1000,,
2012,1000,-0.49,-0.39
2206,1000,,
2406,1000,,
2606,1025,,
2806,1000,,
3012,1025,-0.49,-0.44
3206,975,,
3406,1025,,
3606,1025,,
3806,975,,
4012,1025,-0.59,-0.44
4206,975,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,975,-0.54,-0.49
5206,1000,,
5406,1025,,
5606,1000,,
5806,1000,,
6012,1025,-0.49,-0.54
6206,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
