position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts,detent_type
1,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4,
2,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1,
3,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3,
4,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4,
5,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1,
6,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3,
7,1,"(1, 0, 0)",4,900,"(0, 1, 0)",2,4,
8,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4,
9,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6,
10,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3,
11,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4,
12,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1,
13,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3,
14,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4,
15,1,"(0, 0, 1)",0,,"(0, 0, 1)",0,8,mittelrast
