elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,575,,
404,750,,
605,725,,
806,900,,
1012,925,-0.29,-0.05
1206,925,,
1406,975,,
1606,950,,
1806,1000,,
2012,975,-0.54,-0.49
2206,1000,,
2406,1000,,
2606,1000,,
2806,975,,
3012,1000,-0.49,-0.54
3206,1025,,
3406,950,,
3606,1000,,
3806,975,,
4012,1000,-0.44,-0.44
4206,975,,
4414,1025,,
4606,975,,
4806,1025,,
5012,975,-0.59,-0.49
5206,1025,,
5409,975,,
5606,1025,,
5806,975,,
6012,1000,-0.49,-0.49
6206,1025,,
6406,975,,
6606,1025,,
6806,1000,,
