elapsed_ms,rpm,current_val1,current_val2
9,0,-0.15,0.05
204,500,,
404,700,,
605,650,,
805,875,,
1012,825,-0.49,-0.24
1206,1000,,
1406,925,,
1606,1000,,
1806,1000,,
2012,1000,-0.54,-0.49
2206,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,975,-0.54,-0.63
3206,1025,,
3406,1000,,
3606,1025,,
3805,975,,
4012,1025,-0.59,-0.54
4206,1000,,
4406,1000,,
4606,975,,
4806,1000,,
5012,1000,-0.44,-0.44
5206,1000,,
5406,975,,
5606,1000,,
5806,975,,
6012,1000,-0.44,-0.44
6206,1025,,
6406,1000,,
6606,1025,,
6806,1000,,
