elapsed_ms,rpm,current_val1,current_val2
7,0,0.05,0.05
203,0,,
403,0,,
603,0,,
804,0,,
1008,550,0.00,0.00
1204,675,,
1404,900,,
1604,900,,
1804,950,,
2008,950,-0.49,-0.44
2204,1000,,
2404,1000,,
2604,975,,
2804,1000,,
3009,1000,-0.54,-0.59
3204,975,,
3404,1000,,
3604,1000,,
3804,1000,,
4009,1000,-0.59,-0.68
4204,975,,
4404,1025,,
4604,1025,,
4804,1000,,
5009,1000,-0.54,-0.63
5204,1025,,
5404,1025,,
5604,975,,
5804,1000,,
6008,975,-0.49,-0.54
6204,1000,,
6404,1025,,
6604,975,,
6804,1000,,
7009,975,-0.49,-0.49
7204,1000,,
7404,1000,,
7604,1000,,
7804,1025,,
